tx_hash,tx_fee,tx_burnt_fee,tx_index,tx_nonce,timestamp,block_number,eth_price_usd,blob_gas_price,gas_price,gas_used,priority_fee,base_fee_per_gas,max_priority_fee_per_gas,max_fee_per_blob_gas,from_address,to_address,total_supply,token_ticker,token_amount
0xe8c4baaf2e8b9c22339df5c4f60866c37f9a9819b70f71d30af0143c07461a79,612889746171112,591617746171112,89,46,2024-03-29T21:02:59.000000Z,19542200,3023.68,29458962313,28812041471,21272,21272000000000,27812041471,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,3800,wgw,100
0x0fa638b41a16a71467c72d22374b032600f8beb2c2a937aaf6f90a815f7a8003,580742065825592,559470065825592,96,50,2024-03-29T21:04:35.000000Z,19542208,3023.68,35848555310,27300774061,21272,21272000000000,26300774061,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,3900,wgw,100
0x9c54785deff230e658796abd4920b79b1aaabfa713af292ba5e752856613cf4c,532404089445936,511132089445936,72,52,2024-03-29T21:07:11.000000Z,19542221,3023.68,59721762216,25028398338,21272,21272000000000,24028398338,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,4000,wgw,100
0xcc2b4987f727d23c66b5ceae3a818855ef9026a4781681c3212aeb49479bed13,587755797340792,566483797340792,67,53,2024-03-29T21:07:23.000000Z,19542222,3023.68,55211675727,27630490661,21272,21272000000000,26630490661,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,4100,wgw,100
0xa31249d601919993082f569b6069d82db7360a592caa24dc3f863f3069d92d5e,511691115457464,490419115457464,96,54,2024-03-29T21:07:59.000000Z,19542225,3023.68,53086010137,24054678237,21272,21272000000000,23054678237,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,4200,wgw,100
0xb3a54c577b037408195211e55c7690d3ac6261bbae1097161e447efa7ad3907a,509745958914816,488473958914816,137,56,2024-03-29T21:10:23.000000Z,19542237,3023.68,64600264983,23963236128,21272,21272000000000,22963236128,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,4300,wgw,100
0x58663b6c0d6fc0214991ce9b0ab40aad269917764d89ca8d415ce367460f9285,509745958914816,488473958914816,138,57,2024-03-29T21:10:23.000000Z,19542237,3023.68,64600264983,23963236128,21272,21272000000000,22963236128,1000000000,75214427254,0xF69F529A4Ea4E252B96a0F5D942EA060a0039739,0x4f98CAc931d360F46D25aB3A03B99812e2835F49,4400,wgw,100
0xcfd976d7829ae2c08ae20f7d153aad56aead77272132ed8194bfb45db665c931,575051695487728,553779695487728,80,3,2024-03-29T21:25:59.000000Z,19542312,3023.68,53086010137,27033268874,21272,21272000000000,26033268874,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,4500,wgw,100
0xf8e8f2902ac9c7c08baa77e65d646be11450d1049d9761f2437bf7eb5d60a841,451694622776280,430422622776280,111,14,2024-03-29T21:53:59.000000Z,19542448,3023.68,23276216517,21234233865,21272,21272000000000,20234233865,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,4600,wgw,100
0xc55a0f6f59d953c332643b91c10985d6ada5b3b6ddd7f5cac845a49873742b18,550193867704504,528921867704504,77,15,2024-03-29T21:54:35.000000Z,19542451,3023.68,27234271276,25864698557,21272,21272000000000,24864698557,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,4700,wgw,100
